,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
34,aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,7.3,2017445445,35,7816275487.0,231518782,8.21,7.22,-0.3946508692967994,-5.13107,-107322336.12991166,-5.05101,275066647.920189,1065702521.2402,,19.92,-63.29193,2023-01-26T14:25:17.390Z,3.08,137.43116,2022-12-29T21:35:14.796Z,2023-11-16T21:00:32.330Z
35,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.4,1981506669,36,2247679776.0,76000127,4.79,4.3,-0.3537704167796134,-7.44918,-143933031.16839004,-6.77192,449505679.263494,509887168.494868,,700.65,-99.37084,2021-05-10T16:05:53.653Z,2.87,53.86259,2023-09-22T00:29:57.369Z,2023-11-16T21:00:34.570Z
36,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,6.29,1894654809,37,3150401188.0,911340260,6.64,5.93,0.244238,4.038,76650108.0,4.21617,300700561.0,500000000.0,500000000.0,20.87,-69.77931,2021-05-19T00:30:09.436Z,0.00851264,73981.89409,2019-09-28T00:00:00.000Z,2023-11-16T21:00:24.565Z
37,binance-usd,busd,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654,0.999895,1841791539,38,1841791539.0,6283596101,1.007,0.988409,-0.003597872882207587,-0.35854,-5664319.870254755,-0.3066,1841166107.63,1841166107.63,,1.15,-12.80259,2020-03-13T02:35:42.953Z,0.901127,11.68635,2021-05-19T13:04:37.445Z,2023-11-16T21:00:32.445Z
38,near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.73,1721720010,39,1723254050.0,298451026,1.85,1.66,0.0313463,1.84744,19374844.0,1.13813,999109800.785076,1000000000.0,,20.44,-91.56956,2022-01-16T22:09:45.873Z,0.526762,227.09701,2020-11-04T16:09:15.137Z,2023-11-16T21:00:35.147Z
39,optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.8,1589788427,40,7751111828.0,215171406,1.89,1.77,-0.03939213106905215,-2.14113,-37310607.26339173,-2.29308,880917403.0,4294967296.0,4294967296.0,3.22,-43.97582,2023-02-24T20:20:00.509Z,0.402159,349.01746,2022-06-18T20:54:52.178Z,2023-11-16T21:00:28.765Z
40,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256,0.02093597,1522348491,41,1800179708.0,58904653,0.02205165,0.02064019,-0.000802796605632788,-3.69293,-62905037.013031006,-3.96814,72714516834.0,85985041177.0,86712634466.0,0.280991,-92.53313,2021-04-19T01:08:21.675Z,0.00191713,994.40646,2020-03-13T02:29:59.652Z,2023-11-16T21:00:37.499Z
41,mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.478573,1487366328,42,2978246024.0,12322322,0.484292,0.457068,0.02056272,4.48958,66399705.0,4.67285,3105990005.01314,6219316794.99,6219316794.99,0.600075,-20.49279,2023-07-20T22:39:30.228Z,0.307978,54.91478,2023-10-18T02:50:46.942Z,2023-11-16T21:00:28.294Z
42,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,101.27,1472829644,43,1479747813.0,28307468,106.05,100.35,-3.221868219731988,-3.08349,-51403620.9169209,-3.37242,14544176.164091088,14612493.0,14612493.0,427.42,-76.22921,2021-09-11T09:15:00.668Z,0.215773,46987.23758,2018-08-23T00:00:00.000Z,2023-11-16T21:00:30.450Z
43,immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.12,1409144910,44,2251391748.0,639823323,1.23,1.11,-0.08279632482252786,-6.86248,-106417477.26154757,-7.02165,1251798947.490024,2000000000.0,2000000000.0,9.52,-88.17563,2021-11-26T01:03:01.536Z,0.378055,197.75383,2022-12-31T07:36:37.649Z,2023-11-16T21:00:30.551Z
44,arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.08,1379587171,45,10820291539.0,469809675,1.17,1.072,-0.0552481629035122,-4.86521,-75610041.62902212,-5.19586,1275000000.0,10000000000.0,10000000000.0,8.67,-87.52491,2023-03-23T13:10:03.106Z,0.744925,45.24903,2023-09-11T19:40:49.196Z,2023-11-16T21:00:34.338Z
45,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1696512452,91.67,1344133486,46,1469173715.0,221888110,97.89,90.98,-3.3475717403105847,-3.52294,-53152773.270040035,-3.804,14638252.485773832,16000000.0,16000000.0,661.69,-86.11391,2021-05-18T21:19:59.514Z,26.02,253.08123,2020-11-05T09:20:11.928Z,2023-11-16T21:00:27.939Z
46,injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,15.99,1341102595,47,1601210313.0,142457507,18.43,15.76,-1.0485842972664141,-6.15561,-86748004.38413286,-6.07543,83755555.66,100000000.0,100000000.0,24.89,-35.66771,2021-04-30T00:33:02.969Z,0.657401,2335.68671,2020-11-03T16:19:30.576Z,2023-11-16T21:00:35.625Z
47,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1337.24,1205266115,48,1307324143.0,124682649,1432.47,1321.32,-86.39896879568846,-6.06888,-81705412.24597883,-6.34866,901310.9472893132,977631.036950888,1005577.0,6292.31,-78.76189,2021-05-03T21:54:29.333Z,168.36,693.76801,2020-03-16T20:52:36.527Z,2023-11-16T21:00:37.976Z
48,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.128877,1199434833,49,1291542656.0,91675964,0.139812,0.126333,-0.004114361400414657,-3.0937,-39900169.01749611,-3.21948,9286838706.07946,10000000000.0,,2.84,-95.45132,2021-02-12T07:28:45.775Z,0.052051,148.31605,2022-11-22T10:05:03.503Z,2023-11-16T21:00:32.917Z
49,rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,2138.16,1156450440,50,1156450440.0,9810155,2261.04,2125.52,-97.73205818443057,-4.37105,-50294262.20734978,-4.16776,540785.535985627,540785.535985627,,4814.31,-55.58006,2021-12-01T08:03:50.749Z,887.26,141.02352,2022-06-18T20:55:45.957Z,2023-11-16T21:00:25.155Z
